order_id,customer_id,order_date,status,region_code
1,341.0,2025-08-01 08:50:44,SHIPPED,EAST
2,5.0,2026-01-20 06:37:16,SHIPPED,SOUTH
3,163.0,2025-06-25 05:44:58,PLACED,SOUTH
4,440.0,2025-09-27 15:08:08,CANCELLED,WEST
5,UNKNOWN,2025-03-06 08:02:11,DELIVERED,NORTH
6,544.0,2025-09-14 23:27:17,PLACED,SOUTH
7,353.0,2026-01-12 19:53:03,PLACED,WEST
8,314.0,2025-08-05 02:08:07,PLACED,EAST
9,467.0,2024-12-14 19:50:10,RETURNED,EAST
10,138.0,2025-10-03 14:14:39,CANCELLED,EAST
11,169.0,2024-12-12 09:07:57,CANCELLED,NORTH
12,135.0,2025-09-15 15:58:47,PLACED,SOUTH
13,39.0,2025-04-16 11:05:51,DELIVERED,NORTH
14,50.0,2025-03-28 20:00:25,PLACED,NORTH
15,427.0,2026-02-09 07:07:43,PLACED,EAST
16,157.0,2025-07-19 05:40:07,PLACED,EAST
17,104.0,2025-02-19 06:34:41,DELIVERED,SOUTH
18,108.0,2026-05-25 08:32:50,RETURNED,NORTH
19,109.0,2026-04-27 03:38:16,RETURNED,SOUTH
20,536.0,2025-10-28 10:21:40,DELIVERED,WEST
21,41.0,2026-06-30 17:11:21,SHIPPED,WEST
22,3.0,2026-05-19 20:10:31,PLACED,NORTH
23,506.0,2025-09-24 03:09:58,PLACED,NORTH
24,104.0,2024-11-21 23:10:34,SHIPPED,WEST
25,304.0,2024-09-11 22:06:39,PLACED,NORTH
26,41.0,2025-09-05 23:16:39,DELIVERED,EAST
27,119.0,2024-11-17 20:02:33,PLACED,NORTH
28,175.0,2025-07-04 11:17:13,CANCELLED,EAST
29,96.0,2025-03-07 01:53:46,DELIVERED,SOUTH
30,410.0,2026-04-17 21:13:38,DELIVERED,WEST
31,490.0,2025-02-09 23:20:40,SHIPPED,NORTH
32,61.0,2025-09-14 02:25:30,SHIPPED,NORTH
33,495.0,2025-05-01 13:38:06,CANCELLED,SOUTH
34,368.0,2025-07-08 02:48:14,SHIPPED,WEST
35,116.0,2024-07-20 23:34:36,CANCELLED,NORTH
36,322.0,2026-03-15 02:18:59,RETURNED,SOUTH
37,347.0,2025-11-27 23:49:34,RETURNED,NORTH
38,255.0,2025-08-17 09:53:38,CANCELLED,SOUTH
39,572.0,2025-05-10 20:02:33,RETURNED,NORTH
40,UNKNOWN,2026-02-10 06:31:47,RETURNED,WEST
